id,price_doc
30474,5024964.4687
30476,6805010.5252
30477,11777712.291
30479,7870304.387
30480,5189697.7066
30482,6846519.6902
30484,7718850.1695
30486,4923365.2473
30487,4440500.258
30488,6382080.5553
30491,17121881.631
30492,7101197.253
30493,14405621.838
30495,12827251.9
30496,8432944.7729
30497,8223653.8646
30498,4116327.1161
30499,11191582.215
30500,10756128.829
30501,8345124.6995
30502,5797057.1474
30503,8283492.0762
30504,5590397.7263
30505,13144220.584
30506,2002994.5317
30507,4525902.8156
30508,6472943.4744
30509,8329458.3349
30510,10132510.469
30511,7210726.1194
30512,6759106.5234
30514,4215663.0973
30515,9834943.1094
30516,7363083.5772
30517,10803864.975
30518,6732305.4569
30519,5414056.5163
30520,7648393.4138
30521,5676252.4501
30522,6742370.6114
30523,7092741.8611
30524,9718707.3228
30525,14380447.826
30527,6761788.8437
30528,8277261.3343
30529,7789623.5675
30530,6256309.0893
30531,14208602.297
30533,12032186.357
30535,10330682.612
30537,12110888.55
30538,5399324.4439
30539,7971656.8105
30540,11183191.949
30541,8627783.2954
30543,4968484.1048
30544,9925050.3216
30545,9931413.0519
30547,8811451.7006
30549,4157481.51
30550,11005406.534
30551,5142416.1093
30552,988244.3967
30553,10317381.351
30554,12471783.998
30555,7128084.3458
30556,8769485.7992
30557,11292176.757
30558,10596334.06
30559,7276718.4574
30560,7287316.4561
30561,8237719.2397
30563,3976866.9394
30564,8979120.5719
30565,9758506.3502
30566,8594676.0858
30567,279231.32074
30568,9687500.8345
30569,10308568.734
30570,7446710.4648
30571,8877855.2622
30572,4714702.7821
30573,8072309.5028
30574,7621528.7194
30575,7340914.8985
30576,5403019.4876
30577,5845922.29
30578,3087328.4762
30579,9375434.791
30580,4752421.1052
30581,4007423.6864
30582,14584289.374
30584,4516682.2407
30585,2992231.8542
30586,11375283.647
30587,5369505.7892
30588,10468139.373
30589,9063584.2854
30590,13264456.465
30591,3243155.1822
30592,8773593.4262
30594,8311980.4762
30595,5341175.1774
30596,5932867.463
30597,8173689.161
30598,10479547.176
30599,11706219.481
30600,7733401.4975
30601,7531898.012
30602,1413171.8437
30603,13796055.775
30604,4998517.8263
30605,7649018.1231
30606,16967674.091
30607,9239358.4123
30608,8779891.2656
30610,6763018.3152
30611,6319207.7985
30612,7624684.9417
30613,14683782.855
30614,14685389.393
30615,9534049.6112
30616,6718182.7589
30617,10635549.459
30618,5233041.3809
30619,4948758.953
30620,4351545.6133
30621,9917034.1267
30622,13571556.316
30623,7759456.9484
30624,9325934.974
30625,6750929.4395
30626,8708699.037
30627,10911379.293
30628,7642553.3777
30629,5712666.5637
30630,4973771.4808
30631,5634716.4247
30632,3262186.3096
30633,7199759.0361
30634,10662781.396
30635,10801340.36
30636,5263289.3423
